	A1	A2	A3	A4	B1	B2	B3	B4	C1	C2	C3	C4	D1	D2	D3	D4
CYP1A1	0.00861214	0.00874614	0.00827311	0.00819414	0.00243313	0.00173906	0.00173305	0.00097282	0.00722122	0.00682522	0.00619219	0.00489361	0.00308095	0.00370328	0.00278347	0.00296727
EGF	0.02697451	0.03002034	0.02657471	0.03168708	0.00894973	0.01291258	0.00943457	0.00860638	0.025882	0.0246271	0.0223869	0.02379963	0.01212398	0.01303925	0.01160285	0.01075019
CIRBP	2.11582723	2.11533357	2.15163454	2.08393148	3.91501304	3.98488495	3.85148424	3.85761165	2.10531903	2.09604025	1.99475099	2.1246152	3.47982014	3.34108001	3.36303782	3.61560374
DAPK3	0.19717015	0.20006486	0.16114559	0.19255766	0.20754716	0.20064787	0.20932326	0.2024473	0.20670077	0.19124403	0.19497452	0.20213797	0.19482425	0.20274131	0.1962752	0.20595953
DHX15	0.11647166	0.11893005	0.10562144	0.11334558	0.05929733	0.06412231	0.06543316	0.06366834	0.12223296	0.12187578	0.13037295	0.13177524	0.07666314	0.08196018	0.08103061	0.08629221
DNMT1	0.77967947	0.81196767	0.84168829	0.76226022	0.19767007	0.18878568	0.19459311	0.19699499	0.60857877	0.63283431	0.58573796	0.64338375	0.33658578	0.33323627	0.32945979	0.33983692
EIF4G2	7.14649084	6.76277218	7.65979056	7.17128426	4.25443129	4.47529071	4.28752428	4.37834892	6.88704426	6.77793663	7.16369328	7.07624132	5.34052507	5.50676889	5.32470497	5.40924162
EREG	0.03583197	0.03379283	0.03350158	0.03664683	0.00032397	0.0005202	0.00037935	0.00032397	0.02702735	0.02886452	0.02609935	0.02703247	0.00952129	0.01038645	0.01149663	0.01089401
FAT2	0.00447435	0.0043205	0.00412419	0.00487811	0.88969014	0.93208187	0.94606953	0.92432078	0.18019112	0.18075796	0.20400655	0.18374573	0.66095208	0.64380126	0.66444789	0.65490461
CYR61	0.65991236	0.66509412	0.68998497	0.65406822	0.09392615	0.09248567	0.08682993	0.08485047	0.5335419	0.51685802	0.53941398	0.52534198	0.25156016	0.24892846	0.26150306	0.26209631
