mean.a	mean.b	logFC
CYP1A1	0.0084563825	0.001719515	-2.29803893322214
EGF	0.02881416	0.009975815	-1.53027134644662
CIRBP	2.116681705	3.90224847	0.882501301303719
DAPK3	0.187734565	0.2049913975	0.126869069702646
DHX15	0.1135921825	0.063130285	-0.847459381657178
DNMT1	0.7988989125	0.1945109625	-2.03816149863155
EIF4G2	7.18508446	4.3488988	-0.724354978222592
EREG	0.0349433025	0.0003868725	-6.49701397238132
FAT2	0.0044492875	0.92304058	7.69667594053818
CYR61	0.6672649175	0.089523055	-2.89792847923925
CXorf2	0.00042771	0.00032397	-0.40077271424056
COX7A1	0.00230189	0.4688236325	7.67008259154641
CPA1	0.00042771	0.00032397	-0.40077271424056
CPB1	0.00042771	0.000731105	0.773445680062537
CTPS	1.091057775	0.1432556175	-2.92906388122194
DCT	6.3451311775	0.0020104925	-11.6238853206414
ECGF1	0.02159305	0.020723635	-0.0592899580932222
EYA3	0.144713085	0.0677990325	-1.09385878548363
EXOSC10	0.36830781	0.2213328625	-0.734694318177467
CLCN5	0.06297142	0.0295628125	-1.09091367151717
COL1A1	0.557728325	0.01074655	-5.69761705593044
CYP1B1	0.1459375125	0.1109821275	-0.395023403918881
CYP2D6	0.00203214	0.0009520925	-1.09382614730329
ERCC3	0.47759193	0.3459509	-0.465211165133457
ERCC5	0.4599178625	0.4368857325	-0.0741202388003728
FAH	0.1718560075	0.0267175525	-2.68534052547691
F12	0.0050179525	0.00032397	-3.95316668507914
DAF	1.286384695	0.1125506	-3.51467649416076
CYP1A2	0.0005159125	0.00032397	-0.671266177798293
CYP2B6	0.0005072875	0.0005300075	0.0632091633659879
CYP2F1	0.00042771	0.00032397	-0.40077271424056
CYP4A11	0.00042771	0.0024572175	2.52232071974305
EIF2AK2	0.630968195	0.44018013	-0.519473263036796
ENTPD1	0.014524535	0.087912455	2.59757559693274
CTNNB1	3.960222355	2.1506930125	-0.880779824931327
DSG3	0.00042771	0.0011612625	1.44098928266852
FGB	0.4349232075	0.000331495	-10.35755786765
CX3CL1	0.2813690275	1.082938545	1.94441594102699
EPO	0.0041252825	0.00032397	-3.67056078956304
ELAVL1	1.1928147175	0.4367102475	-1.44962167370507
ERBB4	0.021455645	0.4487945525	4.38662598734254
